sku,price,special_price,weight,ups,shipping_cost
"RCP3306CLE","63.5200","24.5052","3.3000","Y","8.2576",
"RCP3307CLE","35.0300","13.5216","0.7000","Y","4.5539",
"RCP3308CLE","82.0600","31.6548","4.4000","Y","10.6678",
"RCP3309CLE","44.2700","17.0856","3.6000","Y","5.7551",
"RCP3310CLE","21.6100","8.3376","2.0000","Y","2.8093",
"RCP3311CLE","63.5200","24.5052","2.7120","Y","8.2576",
"RCP3314CLE","17.4800","6.7392","0.5830","Y","2.2724",
"RCP3318CLE","40.1500","15.4872","1.4770","Y","5.2195",
"RCP3334CLE","24.8900","9.6012","0.8940","Y","3.2357",
"RCP3335CLE","19.6500","7.5816","0.8300","Y","2.5545",
"RCP3336CLE","18.5700","7.1604","1.0000","Y","2.4141",
"RCP3337CLE","20.8000","8.0244","0.9200","Y","2.7040",
"RCP333800CR","20.8000","8.0244","0.7460","Y","",
"RCP3339CLE","27.0900","10.4544","0.6000","Y","3.5217",
"RCP3349GRA","24.1200","9.3096","1.7000","Y","3.1356",
"RCP3349WHI","24.1200","9.3096","1.0490","Y","3.1356",
"RCP334992GRA","17.0700","6.3288","1.8000","N","2.2191",
"RCP3350BRO","42.3100","16.3296","3.0000","Y","5.5003",
"RCP3351GRA","37.4800","14.4612","2.9000","Y","4.8724",
"RCP3351BRO","37.4800","14.4612","2.5870","Y","4.8724",
"RCP335388BLA","182.2500","70.3080","4.0000","Y","23.6925",
"RCP335488BLA","86.9000","33.5340","2.0000","Y","11.2970",
"RCP335588PLA","876.1900","331.8118","35.0000","Y","96.3809",
"RCP3358CLE","318.3300","120.5538","11.0000","Y","35.0163",
"RCP3359CLE","423.2200","160.2614","12.0000","Y","46.5542",
"RCP3421BLA","475.2000","179.9562","34.0000","Y","52.2720",
"RCP342488BLA","560.5800","212.2968","30.0000","Y","61.6638",
"RCP342488OWH","560.5800","212.2968","30.0000","Y","61.6638",
"RCP342488BLA","560.5800","212.2968","30.0000","Y","",
"RCP342488RED","560.5800","212.2968","30.0000","Y","61.6638",
"RCP3424L6","18.0900","11.5344","0.8500","Y","2.3517",
"RCP3456AMB","22.0700","8.5320","0.1000","Y","2.8691",
"RCP345700BLA","865.0500","327.5930","45.0000","Y","",
"RCP3486108","148.1500","57.1644","3.0000","Y","19.2595",
"RCP3486110CT","107.1400","41.5584","2.3800","Y","",
"RCP3500WHI","78.2800","30.1968","4.9720","Y","10.1764",
"RCP3501WHI","116.3400","44.8956","9.0000","Y","15.1242",
